Runtime,BoxOffice,imdbVotes,imdbRating,Metascore,Movie_ID
121,333718600,1233785,8,76,tt2015381
124,126477084,626784,7,64,tt1446714
117,138291365,526718,7.3,63,tt4972582
108,270578425,181456,7.1,59,tt3470600
123,325100054,706414,5.9,40,tt1386697
103,45540830,142006,5.9,42,tt2034800
128,151101803,626411,8,94,tt3783958
89,0,13547,6.3,70,tt4799064
141,8580410,96107,6.6,78,tt1212428
116,100014699,426430,7,41,tt1355644
132,234037575,492215,7.2,66,tt3183660
127,169607287,243977,7.8,74,tt4846340
133,533539991,663358,7.8,65,tt3748528
107,248757044,359039,7.6,81,tt3521164
109,3029287,67475,6.2,70,tt4680182
87,368384330,210468,6.5,61,tt2709768
139,67209615,562086,8.1,71,tt2119532
123,162434410,235582,6.6,58,tt4196776
88,422783777,1101888,8.5,88,tt0110357
116,100546139,729221,7.9,81,tt2543164
95,0,115028,8.1,0,tt0015864
137,47695371,297531,7.8,96,tt4034228
108,0,12987,6.5,73,tt3896738
92,154025064,86951,6.4,55,tt1679335
120,103144286,185252,5.2,32,tt1628841
99,11528,3463,4.6,0,tt3778010
100,113257297,131331,6.2,60,tt4651520
115,54647948,204553,5.6,36,tt2094766
111,60323786,119434,6.2,39,tt4501244
116,10663357,292537,7.5,67,tt4550098
144,155442489,449466,6.9,52,tt3385516
108,363070709,1080054,8,65,tt1431045
107,26830068,98112,5.5,49,tt2592614
147,408084349,821233,7.8,75,tt3498820
169,188020017,1957061,8.7,74,tt0816692
115,232641920,775015,7.5,72,tt1211837
132,93432655,221203,6.9,54,tt2404435
89,97685686,202754,6.1,66,tt1700841
111,27854932,321204,7.4,99,tt4975722
73,0,1642,2.9,0,tt3620452
115,12786053,164289,7.2,66,tt4276820
98,6303560,2663,5.7,57,tt1366338
136,241071802,546195,6.6,45,tt1298650
132,3500605,79438,7.5,64,tt4540710
149,402111870,419800,5.9,35,tt1055369
122,158848340,253462,7,68,tt2660888
130,0,5375,5,16,tt3286560
138,936662225,953073,7.8,80,tt2488496
91,30353973,78905,5.7,23,tt3717252
118,32492859,38546,5.6,18,tt4824302
101,43037835,707438,7.4,68,tt2911666
152,534987076,2755440,9,84,tt0468569
118,130742922,1483034,8.6,86,tt0102926
88,89217875,290168,7.1,71,tt4160708
106,56245075,272895,7.4,51,tt2674426
117,3603484,20844,6.7,76,tt1661275
96,125070033,288429,7.4,74,tt3263904
151,330360194,717676,6.4,44,tt2975590
86,10474,128619,6.8,65,tt3289956
112,75395035,194062,6.5,48,tt3631112
125,166167230,328143,4.2,46,tt2322441
130,53089891,1391135,8.5,66,tt0482571
129,128261724,693082,7.7,60,tt2802144
133,31886361,108795,7.3,69,tt4572514
120,154280290,1040894,8.1,90,tt1392190
106,262599,17556,6.3,62,tt5195412
107,61433527,176008,7.1,68,tt1860357
133,8224288,177497,6.1,49,tt4776998
124,40098064,163930,7.1,60,tt3640424
108,3740823,91329,7.4,76,tt3416532
97,31016021,103175,6.8,23,tt4682786
108,341268248,522760,8,78,tt2948356
169,309420425,674661,7.1,50,tt0449088
143,623357910,1426217,8,69,tt0848228
153,120540719,1510798,8.3,69,tt0361748
151,423315812,745612,7.4,53,tt0383574
105,243578797,429254,7.8,71,tt0087332
148,292587330,2446118,8.8,74,tt1375666
118,5879835,227239,7.8,72,tt3553976
180,116900694,1488043,8.2,75,tt0993846
149,167767189,1021082,8.1,79,tt2267998
124,653406625,662205,6.9,59,tt0369610
129,10378555,58899,6.4,49,tt2361317
162,785221649,1355823,7.9,83,tt0499549
168,54117416,634201,7.8,68,tt3460252
128,86260045,307947,7.3,51,tt2140479
153,61002302,760761,8.1,70,tt1392214
123,47365290,272197,6.7,32,tt0803096
146,169708112,476661,8.1,62,tt1454029
114,43034523,237164,7.1,57,tt2005151
141,459005868,897327,7.3,66,tt2395427
116,36261763,352176,7.4,70,tt3799694
161,336467,85093,7.2,69,tt1191111
105,1305195,41995,6.1,77,tt4714782
