Movie_ID,Director_ID
tt2015381,75
tt1446714,2
tt4972582,51
tt3470600,6
tt3470600,18
tt1386697,69
tt2034800,88
tt3783958,12
tt4799064,56
tt1212428,47
tt1355644,1
tt3183660,67
tt4846340,61
tt3748528,96
tt3521164,37
tt3521164,27
tt3521164,84
tt4680182,28
tt2709768,92
tt2119532,29
tt4196776,33
tt0110357,77
tt0110357,3
tt2543164,80
tt0015864,91
tt4034228,60
tt3896738,64
tt1679335,93
tt1679335,63
tt1628841,49
tt3778010,85
tt4651520,8
tt4651520,43
tt2094766,57
tt4501244,89
tt4550098,66
tt3385516,21
tt1431045,86
tt2592614,52
tt3498820,44
tt3498820,32
tt0816692,48
tt1211837,25
tt2404435,70
tt1700841,46
tt1700841,19
tt4975722,73
tt3620452,10
tt4276820,13
tt1366338,7
tt1298650,41
tt4540710,54
tt1055369,39
tt2660888,71
tt3286560,23
tt2488496,90
tt3717252,83
tt4824302,95
tt2911666,42
tt2911666,50
tt0468569,48
tt0102926,36
tt4160708,17
tt2674426,9
tt1661275,30
tt3263904,79
tt2975590,76
tt3289956,58
tt3631112,34
tt2322441,22
tt0482571,48
tt2802144,24
tt4572514,62
tt1392190,5
tt5195412,81
tt1860357,62
tt4776998,40
tt3640424,31
tt3416532,72
tt4682786,15
tt2948356,16
tt2948356,45
tt2948356,20
tt0449088,55
tt0848228,11
tt0361748,94
tt0383574,55
tt0087332,4
tt1375666,48
tt3553976,87
tt0993846,14
tt2267998,35
tt0369610,26
tt2361317,53
tt0499549,78
tt3460252,94
tt2140479,38
tt1392214,80
tt0803096,59
tt1454029,34
tt2005151,82
tt2395427,11
tt3799694,74
tt1191111,68
tt4714782,65
