Writer_ID,Writer_Name
1,ArielShaffir
2,ThomasHarris
3,JackKirby
4,GeorgeMiller
5,E.L.Doctorow
6,StevenKnight
7,NicolePerlman
8,RickJaffa
9,AaronGuzikowski
10,ToddKomarnicki
11,GarthJennings
12,BrianLynch
13,AnyaKochoff
14,DavidBarstow
15,ErinCressidaWilson
16,JonLucas
17,StephenChin
18,DougJung
19,CincoPaul
20,JonathanPerera
21,RobertSchenkkan
22,AustinWright
23,BobKane
24,BrendanMcCarthy
25,ShawnBurkett
26,DanAykroyd
27,JossWhedon
28,DamienChazelle
29,E.L.James
30,PatrickNess
31,JonathanAibel
32,ByronHoward
33,JonSpaihts
34,DamonLindelof
35,CarloBernard
36,SethRogen
37,ChrisTerrio
38,ChristopherPriest
39,EhrenKruger
40,IreneMecchi
41,StanLee
42,FedeAlvarez
43,JoshuaZetumer
44,JonathanRoberts
45,LissaEvans
46,NickLathouris
47,DanO'Bannon
48,JaredBush
49,DougMiro
50,BryanSinger
51,GillianFlynn
52,DavidGrann
53,MatthewVaughn
54,ScottDerrickson
55,AllisonSchroeder
56,ColinTrevorrow
57,RodoSayagues
58,JohnMusker
59,NachoVigalondo
60,StephenMcFeely
61,AdamCooper
62,ChristopherMarkus
63,DavidS.Goyer
64,SiobhanDowd
65,JamesA.Woods
66,PaulGreengrass
67,TateTaylor
68,AllanLoeb
69,IanHelfer
70,MichaelLesslie
71,RonClements
72,KyleWard
73,BillDubuque
74,TerryGeorge
75,RichardNaing
76,PaulWernick
77,JonahHill
78,GabyChiappe
79,J.K.Rowling
80,ScottMoore
81,JohnKnoll
82,KathrynStockett
83,GlennBerger
84,SimonPegg
85,RichMoore
86,JamesGray
87,TedElliott
88,MatthewWalker
89,ChristopherNolan
90,MarkMillar
91,StuartBeattie
92,EricHeisserer
93,TerenceWinter
94,M.NightShyamalan
95,ChesleySullenberger
96,JasonSmilovic
97,PaulW.S.Anderson
98,BenAffleck
99,JeffreyReddick
100,JohnOstrander
101,NathanielHawthorne
102,RhettReese
103,DuncanJones
104,KennethLonergan
105,ZakPenn
106,TheodoreMelfi
107,AmandaSilver
108,IanGoldberg
109,PeterBerg
110,KyleHunter
111,BenYoung
112,JordanBelfort
113,MatthewSand
114,OlivierAssayas
115,TomFord
116,AkiraKurosawa
117,MichaelArndt
118,TedChiang
119,HaroldRamis
120,GasparNoé
121,DavidAyer
122,JonathanNolan
123,JeffreyZaslow
124,BarryJenkins
125,ElginJames
126,JaneGoldman
127,LucileHadzihalilovic
128,BillCollage
129,TarellAlvinMcCraney
130,ShaneBlack
131,JamesGunn
132,HideoOguni
133,DeanDevlin
134,C.RobertCargill
135,RobertLudlum
136,EricaRivinoja
137,MatthewMichaelCarnahan
138,CharlesLeavitt
139,KenDaurio
140,TonyGilroy
141,MichaelDougherty
142,ShinobuHashimoto
143,MargotLeeShetterly
144,JoeSimon
145,AnthonyBagarozzi
146,JojoMoyes
147,CoryGoodman
148,TedTally
149,ChristopherRouse
150,TomHines
151,ErinDignam
152,RobinSwicord
153,ToddPhillips
154,AndrewKnight
155,ChrisWeitz
156,CheoHodariCoker
157,PaulaHawkins
158,MattCook
159,AlexKurtzman
160,MattRoss
161,TerryRossio
162,KellyMarcel
163,JohnHamburg
164,GeneRoddenberry
165,SimonKinberg
166,DennisLehane
167,SimonFarnaby
168,RobertSiegel
169,RobertoOrci
170,J.J.Abrams
171,CharlesChaplin
172,KevinGrevioux
173,RickMoranis
174,QuentinTarantino
175,JulianBarratt
176,LindaWoolverton
177,LawrenceKasdan
178,DanAbnett
179,NicolasWright
180,JamesCameron
181,DerekKolstad
